Fleet Size,Capacity,Demand Factor,Optimal Cost
1,100,0.8,137.0
1,125,0.8,137.0
1,125,1.0,137.0
1,150,0.8,137.0
1,150,1.0,137.0
1,150,1.2,137.0
2,50,0.8,161.0
2,75,0.8,149.0
2,75,1.0,161.0
2,75,1.2,161.0
2,100,0.8,137.0
2,100,1.0,139.0
2,100,1.2,161.0
2,125,0.8,137.0
2,125,1.0,137.0
2,125,1.2,139.0
2,150,0.8,137.0
2,150,1.0,137.0
2,150,1.2,137.0
3,50,0.8,161.0
3,50,1.0,164.0
3,50,1.2,210.0
3,75,0.8,149.0
3,75,1.0,151.0
3,75,1.2,161.0
3,100,0.8,137.0
3,100,1.0,139.0
3,100,1.2,151.0
3,125,0.8,137.0
3,125,1.0,137.0
3,125,1.2,139.0
3,150,0.8,137.0
3,150,1.0,137.0
3,150,1.2,137.0
4,50,0.8,161.0
4,50,1.0,164.0
4,50,1.2,198.0
4,75,0.8,149.0
4,75,1.0,151.0
4,75,1.2,161.0
4,100,0.8,137.0
4,100,1.0,139.0
4,100,1.2,151.0
4,125,0.8,137.0
4,125,1.0,137.0
4,125,1.2,139.0
4,150,0.8,137.0
4,150,1.0,137.0
4,150,1.2,137.0
5,50,0.8,161.0
5,50,1.0,164.0
5,50,1.2,198.0
5,75,0.8,149.0
5,75,1.0,151.0
5,75,1.2,161.0
5,100,0.8,137.0
5,100,1.0,139.0
5,100,1.2,151.0
5,125,0.8,137.0
5,125,1.0,137.0
5,125,1.2,139.0
5,150,0.8,137.0
5,150,1.0,137.0
5,150,1.2,137.0
6,50,0.8,161.0
6,50,1.0,164.0
6,50,1.2,198.0
6,75,0.8,149.0
6,75,1.0,151.0
6,75,1.2,161.0
6,100,0.8,137.0
6,100,1.0,139.0
6,100,1.2,151.0
6,125,0.8,137.0
6,125,1.0,137.0
6,125,1.2,139.0
6,150,0.8,137.0
6,150,1.0,137.0
6,150,1.2,137.0
